LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TOTAL UNITS,SALE PRICE,CLIENT_ID
-0.051568162,0.095385046,0.114094516,0.104359436,0.342233366,0
-0.033273153,0.107154077,0.145204919,0.335039518,0.163954933,0
-0.030495977,0.034711369,0.114094516,0.150495452,0.433403929,0
-0.048218372,0.021778733,0.161956674,0.242767485,0.114661033,0
0.03020108,0.497094656,0.161956674,0.980943748,0.9792338,0
0.008098189,0.291868022,0.374943278,0.335039518,0.589222709,0
0.019951294,0.439014155,0.181101538,0.980943748,0.691996798,0
-0.05480343,-0.007012173,0.138025595,0.05822342,0.121766369,0
-0.035305932,0.067724499,0.114094516,0.104359436,0.381353826,0
-0.047388082,0.004723612,0.138025595,0.150495452,0.217909871,0
-0.063449897,0.000501389,0.111701408,-0.08018463,0.148288714,0
-0.041776467,0.009444523,0.116487624,-0.08018463,0.395278057,0
-0.052856543,0.069220562,0.114094516,-0.08018463,-0.097042319,0
-0.052856543,0.069220562,0.114094516,-0.08018463,-0.097042319,0
-0.052856543,0.069220562,0.114094516,-0.08018463,-0.097042319,0
-0.036766097,0.046779613,0.161956674,0.012087403,0.416827463,0
-0.027632908,0.005122562,0.116487624,0.012087403,0.453295688,0
-0.056435379,0.006352659,0.116487624,0.196631469,0.96385084,0
-0.039428751,-0.022637723,0.138025595,0.05822342,0.297476908,0
-0.032271079,0.030888096,0.114094516,0.980943748,0.391962764,0
-0.039428751,-0.017584353,0.114094516,0.05822342,0.433403929,0
-0.024426271,0.315339592,0.116487624,0.980943748,0.837869698,0
-0.053486418,0.091728003,0.116487624,0.288903502,0.007974898,0
-0.053486418,0.091728003,0.116487624,0.288903502,-0.069407361,0
-0.053486418,0.091728003,0.116487624,0.288903502,-0.055245754,0
-0.04023041,0.165201332,0.161956674,0.288903502,1.852349415,0
-0.024426271,0.135612525,0.161956674,0.288903502,0.33062984,0
-0.038856137,0.091894232,0.116487624,0.611855616,0.267639269,0
-0.042434973,0.079260809,0.161956674,0.288903502,0.284215735,0
-0.0410607,0.017589756,0.138025595,0.242767485,0.134032954,0
-0.027632908,0.542608225,0.386908817,0.196631469,0.207963992,0
0.189502222,2.503780938,0.386908817,1.350031879,0.058243694,0
0.033379086,0.286881144,-0.005560879,0.980943748,-0.078344728,0
-0.044639536,0.054991338,0.138025595,0.104359436,0.604593602,0
-0.065511307,-0.007710336,0.138025595,0.05822342,-0.097042319,0
-0.026745357,0.029126066,0.138025595,0.150495452,0.449980395,0
-0.05938434,0.016924839,0.114094516,0.012087403,1.050048463,0
0.086861209,0.348585442,0.240929235,-0.08018463,2.714325645,0
0.18440596,3.640124104,0.128453164,0.473447567,9.848836594,0
-0.027632908,0.222051736,0.185887753,0.104359436,0.575961536,0
0.014769139,0.143923988,0.384515709,-0.08018463,0.615745054,0
-0.050365673,0.011239799,0.138025595,-0.08018463,0.487654127,0
0.010474536,0.007616001,0.138025595,-0.08018463,1.229074295,0
0.467133993,1.194492859,0.190673969,0.05822342,7.014260915,0
-0.052913805,0.023274797,0.161956674,0.05822342,0.605799175,0
-0.044553644,0.255297586,0.138025595,0.150495452,0.599168589,0
-0.045298042,0.013600254,0.161956674,0.012087403,0.511257357,0
0.043027627,1.392272423,0.164349782,0.750263666,2.091050525,0
0.183003056,3.945121535,0.377336385,-0.08018463,9.167543843,0
-0.033301784,0.056154943,0.114094516,-0.08018463,0.188072233,0
0.396444827,5.558010719,0.114094516,0.335039518,6.003598825,0
0.255066495,0.585528618,0.161956674,-0.08018463,3.241457262,0
-0.026859879,0.074174194,0.161956674,1.488439928,0.4330724,0
-0.030181039,0.145453297,0.149991135,0.519583584,0.451638041,0
0.045661651,0.58855399,0.157170459,1.257759846,0.18475694,0
-0.026745357,0.208254708,0.090163437,0.196631469,-0.097042319,0
0.004662507,0.598793712,0.161956674,-0.034048613,1.162768431,0
-0.01729723,0.355035137,0.149991135,0.519583584,0.524574492,0
-0.072783501,-0.059407633,0.161956674,0.05822342,0.10187461,0
-0.05938434,-0.009871316,0.161956674,0.05822342,0.191387526,0
-0.06688558,-0.028555484,0.149991135,-0.034048613,0.081982851,0
-0.028176891,0.16553379,0.138025595,-0.08018463,0.352510775,0
0.000883256,0.57838076,0.114094516,0.242767485,0.930697908,0
-0.022937475,0.280231974,0.149991135,0.242767485,9.285236751,0
0.027652949,0.607371142,0.149991135,0.196631469,0.897544976,0
0.011276196,0.693245173,0.161956674,0.750263666,1.311956625,0
-0.044582275,0.17667115,0.149991135,0.150495452,0.614087408,0
0.038074519,0.569470872,0.161956674,0.104359436,1.086516688,0
0.038074519,0.569470872,0.161956674,0.104359436,0.111820489,0
-0.025714652,0.246986124,0.149991135,0.150495452,0.665474452,0
-0.040831655,0.014265171,0.161956674,0.242767485,-0.097042319,0
-0.02645905,0.153066596,0.116487624,0.335039518,0.108505196,0
-0.02645905,0.153066596,0.116487624,0.427311551,0.72514973,0
-0.038426677,0.018254673,0.161956674,0.104359436,0.367098065,0
-0.002895994,0.291203105,0.138025595,0.704127649,0.665474452,0
-0.026688095,0.20127308,0.138025595,0.427311551,0.661164571,0
-0.026516311,0.214903878,0.116487624,0.427311551,-0.097042319,0
-0.026516311,0.214903878,0.116487624,0.473447567,-0.097042319,0
-0.029322119,0.21769653,0.391695033,0.196631469,0.903724284,0
0.045432605,-0.02313641,0.209818832,-0.08018463,1.328533091,0
0.117295629,0.382030768,0.209818832,-0.034048613,1.129615499,0
0.045432605,0.175441054,0.138025595,-0.034048613,0.434066988,0
-0.02645905,-0.107547625,0.348619091,-0.034048613,0.214594578,0
-0.06396525,-0.007012173,0.114094516,0.012087403,0.10187461,0
-0.061674795,0.078097204,0.111701408,0.012087403,0.353836892,0
-0.061817948,-0.030949185,0.111701408,-0.034048613,0.168180474,0
0.031804398,0.553679093,0.114094516,1.257759846,0.820298644,0
0.020867476,0.186711397,0.161956674,0.796399682,0.25384765,0
-0.036937881,0.130459418,0.161956674,0.842535698,0.259774996,0
-0.028892658,0.114002722,0.114094516,0.980943748,0.324264477,0
-0.028892658,0.114002722,0.114094516,0.980943748,0.324264477,0
-0.033301784,0.216798892,0.138025595,0.980943748,-0.097042319,0
-0.02854909,0.243827768,0.114094516,0.796399682,0.720243096,0
-0.030495977,0.229365823,0.114094516,1.07321578,0.567673303,0
-0.04564161,0.137008851,0.114094516,0.427311551,0.453295688,0
0.156605563,0.732707998,0.161956674,2.088208141,1.921917793,0
-0.062820022,0.05017069,0.114094516,0.150495452,0.289188675,0
-0.002867364,0.351078881,0.161956674,0.05822342,0.506340379,0
-0.03313,0.073908227,0.114094516,0.012087403,0.204648699,0
